dataset,fold,measure,k,n_available_features,model,acc,gps
ArtificialDataset20,2,kDN_importances_norm,9,13,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset20,2,kDN_importances_norm,9,13,KNN,0.6,0.38208032955715754
ArtificialDataset20,2,kDN_importances_norm,10,13,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset20,2,kDN_importances_norm,10,13,KNN,0.58,0.3695652173913044
ArtificialDataset20,2,kDN_importances_norm,11,13,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset20,2,kDN_importances_norm,11,13,KNN,0.6,0.3142857142857143
ArtificialDataset20,2,kDN_importances_norm,12,13,SVM-rbf,0.69,0.11281625881377022
ArtificialDataset20,2,kDN_importances_norm,12,13,KNN,0.62,0.3952772073921971
ArtificialDataset20,2,kDN_importances_norm,13,13,SVM-rbf,0.68,0.0
ArtificialDataset20,2,kDN_importances_norm,13,13,KNN,0.63,0.4021543985637343
ArtificialDataset20,3,kDN_importances_norm,1,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,1,13,KNN,0.62,0.3952772073921971
ArtificialDataset20,3,kDN_importances_norm,2,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,2,13,KNN,0.65,0.3836358710376593
ArtificialDataset20,3,kDN_importances_norm,3,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,3,13,KNN,0.65,0.3453237410071943
ArtificialDataset20,3,kDN_importances_norm,4,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,4,13,KNN,0.65,0.30021531836358045
ArtificialDataset20,3,kDN_importances_norm,5,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,5,13,KNN,0.64,0.338691159586682
ArtificialDataset20,3,kDN_importances_norm,6,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,6,13,KNN,0.63,0.09616130283055448
ArtificialDataset20,3,kDN_importances_norm,7,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,7,13,KNN,0.64,0.43749999999999994
ArtificialDataset20,3,kDN_importances_norm,8,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,8,13,KNN,0.64,0.48387096774193555
ArtificialDataset20,3,kDN_importances_norm,9,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,9,13,KNN,0.62,0.4474671669793621
ArtificialDataset20,3,kDN_importances_norm,10,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,10,13,KNN,0.62,0.32608695652173914
ArtificialDataset20,3,kDN_importances_norm,11,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,11,13,KNN,0.65,0.44498658209319353
ArtificialDataset20,3,kDN_importances_norm,12,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,12,13,KNN,0.62,0.3632432432432433
ArtificialDataset20,3,kDN_importances_norm,13,13,SVM-rbf,0.68,0.0
ArtificialDataset20,3,kDN_importances_norm,13,13,KNN,0.61,0.3885890516576715
ArtificialDataset20,4,kDN_importances_norm,1,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,1,13,KNN,0.64,0.37662337662337664
ArtificialDataset20,4,kDN_importances_norm,2,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,2,13,KNN,0.67,0.25780463242698887
ArtificialDataset20,4,kDN_importances_norm,3,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,3,13,KNN,0.66,0.4995539696699375
ArtificialDataset20,4,kDN_importances_norm,4,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,4,13,KNN,0.6,0.27184466019417475
ArtificialDataset20,4,kDN_importances_norm,5,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,5,13,KNN,0.61,0.3885890516576715
ArtificialDataset20,4,kDN_importances_norm,6,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,6,13,KNN,0.62,0.4231145935357492
ArtificialDataset20,4,kDN_importances_norm,7,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,7,13,KNN,0.58,0.30320366132723114
ArtificialDataset20,4,kDN_importances_norm,8,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,8,13,KNN,0.65,0.46982055464926586
ArtificialDataset20,4,kDN_importances_norm,9,13,SVM-rbf,0.67,0.0
ArtificialDataset20,4,kDN_importances_norm,9,13,KNN,0.63,0.43021266194084573
ArtificialDataset20,4,kDN_importances_norm,10,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,10,13,KNN,0.65,0.46982055464926586
ArtificialDataset20,4,kDN_importances_norm,11,13,SVM-rbf,0.68,0.0
ArtificialDataset20,4,kDN_importances_norm,11,13,KNN,0.68,0.5160142348754448
ArtificialDataset20,4,kDN_importances_norm,12,13,SVM-rbf,0.67,0.0
ArtificialDataset20,4,kDN_importances_norm,12,13,KNN,0.64,0.4621848739495799
ArtificialDataset20,4,kDN_importances_norm,13,13,SVM-rbf,0.67,0.0
ArtificialDataset20,4,kDN_importances_norm,13,13,KNN,0.62,0.3632432432432433
ArtificialDataset20,5,kDN_importances_norm,1,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,1,13,KNN,0.63,0.4021543985637343
ArtificialDataset20,5,kDN_importances_norm,2,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,2,13,KNN,0.56,0.35766423357664234
ArtificialDataset20,5,kDN_importances_norm,3,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,3,13,KNN,0.61,0.38858905165767155
ArtificialDataset20,5,kDN_importances_norm,4,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,4,13,KNN,0.7,0.5700245700245701
ArtificialDataset20,5,kDN_importances_norm,5,13,SVM-rbf,0.68,0.0
ArtificialDataset20,5,kDN_importances_norm,5,13,KNN,0.62,0.28258221680876977
ArtificialDataset20,5,kDN_importances_norm,6,13,SVM-rbf,0.68,0.0
ArtificialDataset20,5,kDN_importances_norm,6,13,KNN,0.65,0.4449865820931934
ArtificialDataset20,5,kDN_importances_norm,7,13,SVM-rbf,0.68,0.0
ArtificialDataset20,5,kDN_importances_norm,7,13,KNN,0.59,0.3446220536439989
ArtificialDataset20,5,kDN_importances_norm,8,13,SVM-rbf,0.68,0.0
ArtificialDataset20,5,kDN_importances_norm,8,13,KNN,0.64,0.37662337662337664
ArtificialDataset20,5,kDN_importances_norm,9,13,SVM-rbf,0.68,0.0
ArtificialDataset20,5,kDN_importances_norm,9,13,KNN,0.65,0.3453237410071942
ArtificialDataset20,5,kDN_importances_norm,10,13,SVM-rbf,0.68,0.0
ArtificialDataset20,5,kDN_importances_norm,10,13,KNN,0.57,0.25704759017884204
ArtificialDataset20,5,kDN_importances_norm,11,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,11,13,KNN,0.6,0.22178988326848253
ArtificialDataset20,5,kDN_importances_norm,12,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,12,13,KNN,0.58,0.0
ArtificialDataset20,5,kDN_importances_norm,13,13,SVM-rbf,0.69,0.0
ArtificialDataset20,5,kDN_importances_norm,13,13,KNN,0.61,0.22634146341463415
